Name	AccessionID	Date	Continent	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745150/2020-12-08	EPI_ISL_745150	2020/12/08	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_745151/2020-12-01	EPI_ISL_745151	2020/12/01	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_745152/2020-12-01	EPI_ISL_745152	2020/12/01	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_745153/2020-11-28	EPI_ISL_745153	2020/11/28	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745154/2020-12-02	EPI_ISL_745154	2020/12/02	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/WestCoast/EPI_ISL_745155/2020-12-02	EPI_ISL_745155	2020/12/02	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/WestCoast/EPI_ISL_745156/2020-12-02	EPI_ISL_745156	2020/12/02	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/WestCoast/EPI_ISL_745157/2020-12-03	EPI_ISL_745157	2020/12/03	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745158/2020-12-04	EPI_ISL_745158	2020/12/04	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745159/2020-12-04	EPI_ISL_745159	2020/12/04	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/WestCoast/EPI_ISL_745160/2020-12-04	EPI_ISL_745160	2020/12/04	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/WestCoast/EPI_ISL_745161/2020-12-04	EPI_ISL_745161	2020/12/04	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745163/2020-12-05	EPI_ISL_745163	2020/12/05	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745164/2020-12-05	EPI_ISL_745164	2020/12/05	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/WestCoast/EPI_ISL_745165/2020-12-05	EPI_ISL_745165	2020/12/05	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745166/2020-12-06	EPI_ISL_745166	2020/12/06	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/WestCoast/EPI_ISL_745167/2020-12-06	EPI_ISL_745167	2020/12/06	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745169/2020-12-07	EPI_ISL_745169	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745170/2020-12-07	EPI_ISL_745170	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745171/2020-12-07	EPI_ISL_745171	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745172/2020-12-07	EPI_ISL_745172	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745173/2020-12-07	EPI_ISL_745173	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/CapeTownMetro/EPI_ISL_745174/2020-12-07	EPI_ISL_745174	2020/12/07	Africa	SouthAfrica	WesternCape	SouthAfrica - WesternCape
