,EventTime,Origin,Destination
397,2021.3520400000002,UnitedKingdom,Pakistan
398,2021.2725900000003,UnitedKingdom,USA
399,2021.5356100000001,UnitedKingdom,Pakistan
400,2021.2506700000001,UnitedKingdom,Pakistan
401,2021.3109500000003,UnitedKingdom,Pakistan
402,2020.8728800000001,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
403,2020.9767100000001,SouthAfrica - KwaZulu-Natal,SouthAfrica - EasternCape
404,2020.9251800000002,SouthAfrica - KwaZulu-Natal,Austria
405,2021.1109400000003,Austria,Germany
406,2021.1080500000003,Austria,Germany
407,2021.0369600000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
408,2020.68954,SouthAfrica - WesternCape,SouthAfrica - EasternCape
409,2020.8788600000003,SouthAfrica - EasternCape,Kenya
410,2021.0397100000002,SouthAfrica - EasternCape,SouthAfrica - WesternCape
411,2021.3602500000002,SouthAfrica - EasternCape,SouthAfrica - FreeState
412,2021.4040900000002,SouthAfrica - EasternCape,SouthAfrica - EasternCape
413,2021.17395,SouthAfrica - WesternCape,Turkey
414,2021.0095600000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
415,2020.7308000000003,SouthAfrica - WesternCape,SouthAfrica - Gauteng
416,2020.82642,SouthAfrica - WesternCape,SouthAfrica - Limpopo
417,2020.9056600000001,SouthAfrica - WesternCape,SouthAfrica - NorthernCape
418,2020.8892700000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
419,2021.4451900000001,SouthAfrica - WesternCape,Botswana
420,2021.4808100000002,SouthAfrica - WesternCape,Botswana
421,2021.3931300000002,SouthAfrica - WesternCape,Botswana
422,2020.9904000000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
423,2020.9931400000003,SouthAfrica - WesternCape,SouthAfrica - Gauteng
424,2020.6050200000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
425,2020.9548600000003,SouthAfrica - WesternCape,SouthAfrica - Gauteng
426,2021.3575300000002,SouthAfrica - Gauteng,SouthAfrica - WesternCape
427,2020.9521300000001,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
428,2020.9494000000002,SouthAfrica - WesternCape,UnitedArabEmirates
429,2021.2068500000003,UnitedArabEmirates,India
430,2021.00411,UnitedArabEmirates,SouthAfrica - EasternCape
431,2021.0095900000001,UnitedArabEmirates,SouthAfrica - EasternCape
432,2021.1239900000003,UnitedArabEmirates,India
433,2020.9603200000001,SouthAfrica - WesternCape,SouthAfrica - Limpopo
434,2020.9958800000002,SouthAfrica - WesternCape,Zimbabwe
435,2020.8365400000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
436,2021.05616,SouthAfrica - Gauteng,Angola
