Name	Accession ID	Date	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207557/2021-07-05	EPI_ISL_3207557	2021/07/05	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207558/2021-07-05	EPI_ISL_3207558	2021/07/05	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207559/2021-07-05	EPI_ISL_3207559	2021/07/05	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207560/2021-07-06	EPI_ISL_3207560	2021/07/06	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207561/2021-07-06	EPI_ISL_3207561	2021/07/06	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207562/2021-07-06	EPI_ISL_3207562	2021/07/06	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207564/2021-07-07	EPI_ISL_3207564	2021/07/07	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207566/2021-07-08	EPI_ISL_3207566	2021/07/08	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207567/2021-07-08	EPI_ISL_3207567	2021/07/08	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207568/2021-07-08	EPI_ISL_3207568	2021/07/08	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/Africa/SouthAfrica/WesternCape/EPI_ISL_3207570/2021-07-06	EPI_ISL_3207570	2021/07/06	SouthAfrica	WesternCape	SouthAfrica - WesternCape
hCoV-19/NorthAmerica/USA/California/SanDiego/EPI_ISL_3215804/2021-06-28	EPI_ISL_3215804	2021/06/28	USA	California	USA
