,EventTime,Origin,Destination
952,2021.64936,SouthAfrica - Gauteng,SouthAfrica - EasternCape
953,2021.73977,SouthAfrica - Gauteng,SouthAfrica - Limpopo
954,2021.64114,SouthAfrica - Gauteng,SouthAfrica - FreeState
955,2021.6521,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
956,2021.6521,SouthAfrica - Gauteng,Germany
957,2021.71785,SouthAfrica - Gauteng,SouthAfrica - FreeState
958,2021.55622,SouthAfrica - Gauteng,SouthAfrica - WesternCape
959,2021.55622,SouthAfrica - Gauteng,SouthAfrica - Limpopo
960,2021.56169,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
961,2021.56169,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
962,2021.56991,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
963,2021.5726399999999,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
964,2021.5726399999999,SouthAfrica - Gauteng,SouthAfrica - NorthWest
965,2021.57538,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
966,2021.5836,SouthAfrica - Gauteng,France
967,2021.57875,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
968,2021.78633,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
969,2021.7425,SouthAfrica - KwaZulu-Natal,SouthAfrica - Limpopo
970,2021.6700799999999,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
971,2021.75894,SouthAfrica - Gauteng,SouthAfrica - NorthWest
972,2021.80551,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
973,2021.7287999999999,SouthAfrica - Gauteng,Germany
974,2021.81373,SouthAfrica - Gauteng,SouthAfrica - WesternCape
975,2021.59017,SouthAfrica - KwaZulu-Natal,SouthAfrica - NorthWest
976,2021.59409,SouthAfrica - NorthWest,SouthAfrica - KwaZulu-Natal
977,2021.5973,SouthAfrica - KwaZulu-Natal,SouthAfrica - NorthWest
978,2021.60387,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
979,2021.60552,SouthAfrica - Gauteng,SouthAfrica - FreeState
980,2021.62038,SouthAfrica - Gauteng,SouthAfrica - FreeState
981,2021.62578,SouthAfrica - FreeState,SouthAfrica - Gauteng
982,2021.62743,SouthAfrica - Gauteng,SouthAfrica - EasternCape
983,2021.63291,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
984,2021.64386,SouthAfrica - KwaZulu-Natal,Germany
985,2021.64499,SouthAfrica - KwaZulu-Natal,Germany
986,2021.6603,Germany,SouthAfrica - FreeState
987,2021.66304,Germany,SouthAfrica - KwaZulu-Natal
988,2021.66578,Germany,SouthAfrica - Gauteng
989,2021.67126,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
990,2021.69044,SouthAfrica - Gauteng,Germany
991,2021.8000299999999,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
992,2021.73975,SouthAfrica - Gauteng,Germany
993,2021.75619,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
994,2021.76441,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-E4175Natal
995,2021.37822,SouthAfrica - Gauteng,SouthAfrica - WesternCape
996,2021.61642,SouthAfrica - WesternCape,SouthAfrica - EasternCape
997,2021.81094,SouthAfrica - WesternCape,Botswana
998,2021.57469,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
999,2021.7041,SouthAfrica - KwaZulu-Natal,SouthAfrica - Limpopo
1000,2021.74246,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
1001,2021.64383,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
1002,2021.78082,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
1003,2021.64383,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
1004,2021.7780599999999,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
1005,2021.73868,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
1006,2021.84107,SouthAfrica - Mpumalanga,SouthAfrica - Gauteng
1007,2021.86299,SouthAfrica - Gauteng,France
